state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,4.87,1.2,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.87,"ROMNEY, MITT",REPUBLICAN,46.98
ALABAMA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-1.52,-0.38,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.55,"OBAMA, BARACK H.",DEMOCRAT,38.36
ALASKA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.92,1.74,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.8,"OBAMA, BARACK H.",DEMOCRAT,40.81
ARIZONA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.9,1.69,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.65,"OBAMA, BARACK H.",DEMOCRAT,44.59
ARKANSAS,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,3.51,0.9,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57,"OBAMA, BARACK H.",DEMOCRAT,36.88
CALIFORNIA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,8.1,1.98,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24,"ROMNEY, MITT",REPUBLICAN,37.12
COLORADO,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.77,1.89,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49,"ROMNEY, MITT",REPUBLICAN,46.13
CONNECTICUT,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-0.6,-0.1,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09,"ROMNEY, MITT",REPUBLICAN,40.75
DELAWARE,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,2.94,0.76,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61,"ROMNEY, MITT",REPUBLICAN,39.98
DISTRICT OF COLUMBIA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,3.19,0.82,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91,"ROMNEY, MITT",REPUBLICAN,7.28
FLORIDA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,2.56,0.66,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01,"ROMNEY, MITT",REPUBLICAN,49.13
GEORGIA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-1.49,-0.34,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33,"OBAMA, BARACK H.",DEMOCRAT,45.51
HAWAII,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-1.48,-0.34,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15,"ROMNEY, MITT",REPUBLICAN,27.68
IDAHO,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.61,1.85,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53,"OBAMA, BARACK H.",DEMOCRAT,32.62
ILLINOIS,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.94,1.7,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6,"ROMNEY, MITT",REPUBLICAN,40.73
INDIANA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.65,1.64,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13,"OBAMA, BARACK H.",DEMOCRAT,43.93
IOWA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,5.84,1.46,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99,"ROMNEY, MITT",REPUBLICAN,46.18
KANSAS,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.71,1.67,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71,"OBAMA, BARACK H.",DEMOCRAT,37.99
KENTUCKY,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.44,0.12,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.49,"OBAMA, BARACK H.",DEMOCRAT,37.8
LOUISIANA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.36,0.1,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.78,"OBAMA, BARACK H.",DEMOCRAT,40.58
MAINE,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.45,0.14,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.37,"ROMNEY, MITT",REPUBLICAN,40.33
MARYLAND,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,1.2,0.32,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.97,"ROMNEY, MITT",REPUBLICAN,35.9
MASSACHUSETTS,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,4.83,1.19,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.34,"ROMNEY, MITT",REPUBLICAN,37.32
MICHIGAN,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.42,1.82,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.21,"ROMNEY, MITT",REPUBLICAN,44.71
MINNESOTA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,8.75,2.14,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,44.96,"ROMNEY, MITT",REPUBLICAN,44.96
MISSISSIPPI,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.55,0.14,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.29,"OBAMA, BARACK H.",DEMOCRAT,43.79
MISSOURI,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-0.02,0.02,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.76,"OBAMA, BARACK H.",DEMOCRAT,44.38
MONTANA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,8.49,2.08,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.35,"OBAMA, BARACK H.",DEMOCRAT,41.7
NEBRASKA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.72,1.73,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.8,"OBAMA, BARACK H.",DEMOCRAT,38.03
NEVADA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,4.31,1.08,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.36,"ROMNEY, MITT",REPUBLICAN,45.68
NEW HAMPSHIRE,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.17,1.53,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.98,"ROMNEY, MITT",REPUBLICAN,46.4
NEW JERSEY,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,3.22,0.8,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.34,"ROMNEY, MITT",REPUBLICAN,40.62
NEW MEXICO,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-1.22,-0.29,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.99,"ROMNEY, MITT",REPUBLICAN,42.84
NEW YORK,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,5.93,1.46,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.76,"ROMNEY, MITT",REPUBLICAN,31.24
NORTH CAROLINA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-4.22,-1.03,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,50.39,"OBAMA, BARACK H.",DEMOCRAT,48.35
NORTH DAKOTA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,19.5,4.71,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,58.32,"OBAMA, BARACK H.",DEMOCRAT,38.7
OHIO,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.56,1.62,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.67,"ROMNEY, MITT",REPUBLICAN,47.69
OKLAHOMA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,9.2,2.24,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,66.77,"OBAMA, BARACK H.",DEMOCRAT,33.23
OREGON,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,3.91,0.96,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.24,"ROMNEY, MITT",REPUBLICAN,42.15
PENNSYLVANIA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.24,1.77,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.08,"ROMNEY, MITT",REPUBLICAN,46.68
RHODE ISLAND,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,5.99,1.51,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.7,"ROMNEY, MITT",REPUBLICAN,35.24
SOUTH CAROLINA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,1.7,0.43,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.56,"OBAMA, BARACK H.",DEMOCRAT,44.09
SOUTH DAKOTA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.98,0.33,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.89,"OBAMA, BARACK H.",DEMOCRAT,39.87
TENNESSEE,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,2.62,0.65,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.48,"OBAMA, BARACK H.",DEMOCRAT,39.08
TEXAS,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,9.12,2.23,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.17,"OBAMA, BARACK H.",DEMOCRAT,41.38
UTAH,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.02,1.71,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,72.79,"OBAMA, BARACK H.",DEMOCRAT,24.75
VERMONT,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,5.45,1.35,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,66.57,"ROMNEY, MITT",REPUBLICAN,30.97
VIRGINIA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.35,0.12,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.16,"ROMNEY, MITT",REPUBLICAN,47.28
WASHINGTON,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.94,1.95,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.16,"ROMNEY, MITT",REPUBLICAN,41.29
WEST VIRGINIA,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-1.17,-0.27,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,62.3,"OBAMA, BARACK H.",DEMOCRAT,35.54
WISCONSIN,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,4.26,1.06,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.78,"ROMNEY, MITT",REPUBLICAN,45.94
WYOMING,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,9.43,2.34,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,68.19,"OBAMA, BARACK H.",DEMOCRAT,27.64
